SMILES,Formula,Exact_Mol_Wt,Iso_Wts,Mult
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23)[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])([H])C([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C([H])([H])C([H])([H])[C@]([H])(O[H])C([H])([H])C1([H])C([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@]1C([H])([H])[H],C19H29O2,289.2167551680008,"289.21675517623004, 290.22011001143005, 291.22346484663",2
C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C23[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])C1([H])[H],C19H29O,273.2218405480005,"273.22184055603003, 274.22519539123005, 275.22855022643",2
C([H])(C([H])[H])C([H])([H])C([H])([H])C1([H])C([H])([C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])O[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C12[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C([H])(C([H])([H])C([H])([H])C1([H])C([H])([C@@](C([H])([H])[H])C([H])([H])C([H])[H])C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C12[H])C([H])([H])[C@@]([H])O[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C2([H])C3([H])C([H])([H])C([H])([H])C(=O)[C@@]3C([H])([H])C([H])([H])C2([H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C18H27O2,275.20110510400053,"275.20110511169, 276.20445994689004, 277.20781478209",2
C1([H])C([H])([H])C([H])([H])C([H])(C2([H])C([H])([H])C([H])([H])C(=O)[C@]2C([H])([H])[H])C([H])(C([H])([H])C([H])[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C2([H])C([H])C([H])([H])C([H])([H])C(=O)[C@@](C([H])([H])[H])C([H])([H])C([H])([H])C2([H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@@](C(=O)C([H])[H])(C([H])([H])[H])C2([H])C([H])[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C([H])(C2([H])C([H])([H])C([H])([H])C(=O)[C@]2(C([H])[H])C([H])([H])[H])C([H])(C([H])[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C([H])C([H])(C([H])([H])C([H])([H])[C@]2(C([H])([H])[H])C(=O)C([H])([H])C([H])([H])C2[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C2([H])C([H])(C([H])([H])C([H])([H])[C@@](C(=O)C([H])([H])C([H])[H])(C([H])([H])[H])C2[H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C([H])(C2([H])C([H])([H])C([H])([H])C(=O)[C@@]2(C([H])([H])[H])C([H])([H])C([H])[H])C([H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
C1([H])C([H])([H])C([H])([H])C([H])C2([H])C([H])([H])C([H])([H])C(=O)[C@@]2(C([H])([H])[H])C([H])([H])C([H])([H])C([H])[C@@](C([H])([H])[H])C([H])([H])C([H])([H])[C@]([H])(O[H])C1([H])[H],C19H30O2,290.22458020000084,"290.2245802085, 291.22793504370003, 292.2312898789",2
